Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
1300300,18/04/2017,31/12/2017,ADAS II,Permanent,"189,816.00",CRISPIN E. ROJAS NHS,,STEP 1
1300300,01/01/2018,31/12/2018,ADAS II,Permanent,"197,196.00",CRISPIN E. ROJAS NHS,,NBC 572
1300300,01/01/2019,31/12/2019,ADAS II,Permanent," 201,096.00 ",CRISPIN E. ROJAS NHS,,NBC 575
1300300,01/01/2020,17/04/2020,ADAS II,Permanent," 210,060.00 ",CRISPIN E. ROJAS NHS,,NBC 579
1300300,18/04/2020,12/31/2020,ADAS II,Permanent," 211,956.00 ",CRISPIN E. ROJAS NHS,,STEP 2
1300300,01/01/2021,31/12/2021,ADAS II,Permanent,"221,004.00",CRISPIN E. ROJAS NHS,,NBC 584
1300300,01/01/2022,31/12/2022,ADAS II,Permanent,"230,040.00",CRISPIN E. ROJAS NHS,,NBC 588
1300300,01/01/2023,17/04/2023,ADAS II,Permanent,"239,076.00",CRISPIN E. ROJAS NHS,,NBC 591
1300300,18/04/2023,Present,ADAS II,Permanent,"241,248.00",CRISPIN E. ROJAS NHS,,STEP 3
8321750,15/09/2014,31/12/2014,ADAS II,PERM,"179, 172.00",CRISPIN E. ROJAS NHS,,STEP 1
8321750,01/01/2015,31/12/2015,ADAS II,PERM,"179, 172.00",CRISPIN E. ROJAS NHS,,
8321750,01/01/2016,31/12/2016,ADAS II,PERM,"184, 416.00",CRISPIN E. ROJAS NHS,,NBC 562
8321750,01/01/2017,14/09/2017,ADAS II,PERM,"189,816.00",CRISPIN E. ROJAS NHS,,NBC 568
8321750,15/09/2017,31/12/2017,ADAS II,PERM,"191,628.00",CRISPIN E. ROJAS NHS,,STEP 2
8321750,01/01/2018,31/12/2018,ADAS II,PERM,"197,196.00",CRISPIN E. ROJAS NHS,,NBC 572
8321750,01/01/2019,31/12/2019,ADAS II,PERM,"211,956.00",CRISPIN E. ROJAS NHS,,NBC 575
8321750,01/01/2020,14/09/2020,ADAS II,PERM,"211,956.00",CRISPIN E. ROJAS NHS,,NBC 579
8321750,15/09/2020,31/12/2020,ADAS II,PERM,"214,716.00",CRISPIN E. ROJAS NHS,,STEP 3
8321750,01/01/2021,31/12/2021,ADAS II,PERM,"222,996.00",CRISPIN E. ROJAS NHS,,NBC 584
8321750,01/01/2022,12/31/2023,ADAS II,PERM,"232,116.00",CRISPIN E. ROJAS NHS,,NBC 588
8321750,01/01/2023,9/14/2023,ADAS II,PERM,"241,248.00",CRISPIN E. ROJAS NHS,,NBC 591
8321750,9/15/2023,PRESENT,ADAS II,PERM,"243,420.00",CRISPIN E. ROJAS NHS,,STEP 4
8323920,18/11/2019,31/12/2019,ADAS III,Permanent," 215,700.00 ",CRISPIN E. ROJAS NHS,,STEP 1
8323920,01/01/2020,31/12/2020,ADAS III,Permanent," 225,408.00 ",CRISPIN E. ROJAS NHS,,NBC 579
8323920,01/01/2021,31/12/2021,ADAS III,Permanent," 235,116.00 ",CRISPIN E. ROJAS NHS,,NBC 584
8323920,01/01/2022,17/11/2022,ADAS III,Permanent," 244,824.00 ",CRISPIN E. ROJAS NHS,,NBC 588
8323920,18/11/2022,31/12/2022,ADAS III,Permanent," 246,864.00 ",CRISPIN E. ROJAS NHS,,STEP 2
8323920,01/01/2023,PRESENT,ADAS III,Permanent," 256,656.00 ",CRISPIN E. ROJAS NHS,,NBC 591
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
